review_id,customer_id,booking_id,service_type,rating,review_text,sentiment,review_date
REV0034,CUST0207,BK01883,Hair Spa,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2024-10-08
REV0035,CUST0067,BK03557,Hair Colour,4,Great value for money. Very satisfied with the facial treatment.,Positive,2025-02-11
REV0036,CUST0170,BK01899,Hair Spa,4,Great value for money. Very satisfied with the facial treatment.,Positive,2025-06-04
REV0037,CUST0297,BK01148,Manicure,5,Outstanding service. The hair spa was so relaxing.,Positive,2026-04-22
REV0038,CUST0484,BK01943,Hair Colour,4,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2024-09-17
REV0039,CUST0292,BK03533,Waxing,1,Waiting time is too long. They don't respect appointments.,Negative,2025-09-14
REV0040,CUST0118,BK03554,Haircut,5,Best salon in Nellore! Will definitely come back.,Positive,2025-02-05
REV0041,CUST0350,BK03384,Haircut,4,Amazing experience! My hair looks absolutely stunning.,Positive,2024-07-11
REV0042,CUST0270,BK01411,Hair Spa,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-12-06
REV0043,CUST0339,BK01546,Waxing,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-09-30
REV0044,CUST0114,BK01450,Hair Colour,5,Quick service and great results. Highly recommend.,Positive,2025-02-19
REV0045,CUST0324,BK02635,Manicure,2,Pricing is not transparent. Hidden charges were added at billing.,Negative,2025-09-25
REV0046,CUST0074,BK01031,Waxing,4,Great value for money. Very satisfied with the facial treatment.,Positive,2026-01-14
REV0047,CUST0317,BK00904,Waxing,4,Amazing experience! My hair looks absolutely stunning.,Positive,2025-04-06
REV0048,CUST0036,BK01882,Waxing,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2024-08-09
REV0049,CUST0282,BK03539,Waxing,5,Amazing experience! My hair looks absolutely stunning.,Positive,2024-09-22
REV0050,CUST0423,BK00600,Hair Spa,5,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2025-06-26
REV0051,CUST0179,BK02029,Manicure,4,Excellent bridal package. Made my wedding day perfect!,Positive,2024-08-10
REV0052,CUST0477,BK01777,Waxing,5,Outstanding service. The hair spa was so relaxing.,Positive,2024-10-05
REV0053,CUST0025,BK04604,Hair Colour,4,Outstanding service. The hair spa was so relaxing.,Positive,2025-09-28
REV0054,CUST0298,BK03879,Hair Spa,4,Quick service and great results. Highly recommend.,Positive,2026-01-06
REV0055,CUST0189,BK00833,Waxing,2,The staff was rude and did not listen to my requirements.,Negative,2026-03-23
REV0056,CUST0464,BK04408,Hair Colour,3,"Mixed experience. Some services were great, others average.",Neutral,2024-07-08
REV0057,CUST0113,BK04319,Hair Spa,5,Quick service and great results. Highly recommend.,Positive,2026-01-24
REV0058,CUST0449,BK02485,Hair Colour,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2024-10-24
REV0059,CUST0027,BK02260,Facial,5,Punctual and professional. My go-to salon from now on.,Positive,2024-11-08
REV0060,CUST0112,BK03914,Manicure,4,Best salon in Nellore! Will definitely come back.,Positive,2024-11-01
REV0061,CUST0167,BK03799,Hair Colour,2,Salon was not clean. Hygiene standards need serious improvement.,Negative,2024-12-22
REV0062,CUST0318,BK04296,Hair Spa,3,Average experience. The waiting time was a bit long.,Neutral,2024-06-02
REV0063,CUST0419,BK01249,Haircut,5,Best salon in Nellore! Will definitely come back.,Positive,2024-12-06
REV0064,CUST0482,BK03558,Hair Colour,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-09-27
REV0065,CUST0061,BK03916,Haircut,3,Average experience. The waiting time was a bit long.,Neutral,2025-01-25
REV0066,CUST0204,BK02426,Manicure,1,Pricing is not transparent. Hidden charges were added at billing.,Negative,2025-10-15
REV0067,CUST0252,BK01218,Facial,3,"Mixed experience. Some services were great, others average.",Neutral,2024-09-05
REV0068,CUST0492,BK00531,Facial,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2024-05-06
REV0069,CUST0222,BK01978,Haircut,3,Average experience. The waiting time was a bit long.,Neutral,2025-02-18
REV0070,CUST0092,BK03043,Haircut,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2026-01-02
REV0071,CUST0489,BK00285,Manicure,1,Staff behaviour was very poor. Will not return.,Negative,2025-08-29
REV0072,CUST0336,BK03804,Hair Colour,4,Outstanding service. The hair spa was so relaxing.,Positive,2025-12-18
REV0073,CUST0368,BK03969,Haircut,4,Outstanding service. The hair spa was so relaxing.,Positive,2026-03-17
REV0074,CUST0294,BK02529,Manicure,5,Best salon in Nellore! Will definitely come back.,Positive,2026-03-22
REV0075,CUST0488,BK01758,Hair Colour,2,Too expensive compared to other salons in the area.,Negative,2024-12-05
REV0076,CUST0189,BK02450,Waxing,4,The staff is very skilled and the ambience is lovely.,Positive,2025-07-19
REV0077,CUST0256,BK01449,Haircut,3,Average experience. The waiting time was a bit long.,Neutral,2026-02-18
REV0078,CUST0487,BK00150,Facial,5,Excellent bridal package. Made my wedding day perfect!,Positive,2025-12-13
REV0079,CUST0408,BK04723,Hair Colour,3,Service was fine but the pricing is slightly high.,Neutral,2024-05-14
REV0080,CUST0374,BK01270,Hair Colour,4,Amazing experience! My hair looks absolutely stunning.,Positive,2025-09-21
REV0081,CUST0085,BK04609,Haircut,1,The place needs better maintenance and cleanliness.,Negative,2025-03-11
REV0082,CUST0043,BK00587,Haircut,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2026-03-11
REV0083,CUST0282,BK02932,Haircut,5,Quick service and great results. Highly recommend.,Positive,2026-02-26
REV0084,CUST0063,BK00624,Facial,5,Outstanding service. The hair spa was so relaxing.,Positive,2024-10-16
REV0085,CUST0124,BK02948,Pedicure,4,Great value for money. Very satisfied with the facial treatment.,Positive,2024-07-08
REV0086,CUST0493,BK03590,Hair Colour,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2026-02-27
REV0087,CUST0376,BK00317,Manicure,4,Outstanding service. The hair spa was so relaxing.,Positive,2025-09-13
REV0088,CUST0187,BK01009,Haircut,4,The staff is very skilled and the ambience is lovely.,Positive,2024-07-26
REV0089,CUST0265,BK02719,Hair Spa,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-01-21
REV0090,CUST0290,BK03843,Hair Colour,5,Punctual and professional. My go-to salon from now on.,Positive,2026-01-05
REV0091,CUST0244,BK02916,Haircut,5,Excellent bridal package. Made my wedding day perfect!,Positive,2024-08-28
REV0092,CUST0452,BK00387,Facial,5,Great value for money. Very satisfied with the facial treatment.,Positive,2024-09-25
REV0093,CUST0159,BK04614,Waxing,2,The staff was rude and did not listen to my requirements.,Negative,2025-07-28
REV0094,CUST0359,BK00551,Hair Spa,4,Excellent bridal package. Made my wedding day perfect!,Positive,2025-11-23
REV0095,CUST0014,BK02964,Waxing,3,"Mixed experience. Some services were great, others average.",Neutral,2025-01-28
REV0096,CUST0209,BK00820,Hair Spa,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-05-29
REV0097,CUST0323,BK00301,Waxing,1,The staff was rude and did not listen to my requirements.,Negative,2025-01-11
REV0098,CUST0055,BK03535,Facial,5,Excellent bridal package. Made my wedding day perfect!,Positive,2025-05-18
REV0099,CUST0009,BK03720,Manicure,4,Punctual and professional. My go-to salon from now on.,Positive,2026-04-04
REV0100,CUST0040,BK00481,Hair Colour,4,Best salon in Nellore! Will definitely come back.,Positive,2025-03-25
REV0101,CUST0316,BK01388,Hair Spa,4,Punctual and professional. My go-to salon from now on.,Positive,2024-11-15
REV0102,CUST0232,BK01857,Manicure,1,Staff behaviour was very poor. Will not return.,Negative,2025-02-21
REV0103,CUST0337,BK02063,Hair Colour,4,Best salon in Nellore! Will definitely come back.,Positive,2026-01-23
REV0104,CUST0171,BK01391,Manicure,5,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2026-02-24
REV0105,CUST0322,BK02861,Hair Colour,5,Amazing experience! My hair looks absolutely stunning.,Positive,2024-06-17
REV0106,CUST0173,BK01830,Waxing,3,"Mixed experience. Some services were great, others average.",Neutral,2026-04-25
REV0107,CUST0456,BK04189,Waxing,2,Overpriced for the quality of service provided.,Negative,2024-07-28
REV0108,CUST0302,BK01472,Hair Spa,4,Outstanding service. The hair spa was so relaxing.,Positive,2024-05-13
REV0109,CUST0196,BK03704,Manicure,5,The staff is very skilled and the ambience is lovely.,Positive,2025-11-26
REV0110,CUST0057,BK01513,Waxing,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-04-12
REV0111,CUST0116,BK02622,Facial,3,Average experience. The waiting time was a bit long.,Neutral,2024-10-14
REV0112,CUST0270,BK00850,Haircut,5,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2025-11-28
REV0113,CUST0313,BK00480,Manicure,4,Outstanding service. The hair spa was so relaxing.,Positive,2024-10-05
REV0114,CUST0070,BK03284,Hair Spa,4,Punctual and professional. My go-to salon from now on.,Positive,2024-09-15
REV0115,CUST0260,BK03437,Haircut,4,Amazing experience! My hair looks absolutely stunning.,Positive,2025-11-19
REV0116,CUST0413,BK02353,Hair Spa,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2024-05-07
REV0117,CUST0304,BK01871,Haircut,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2025-11-14
REV0118,CUST0406,BK02522,Hair Colour,5,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2025-06-03
REV0119,CUST0391,BK02612,Hair Spa,5,The staff is very skilled and the ambience is lovely.,Positive,2025-01-17
REV0120,CUST0084,BK03807,Manicure,4,Outstanding service. The hair spa was so relaxing.,Positive,2024-09-16
REV0121,CUST0236,BK01706,Haircut,4,Quick service and great results. Highly recommend.,Positive,2026-03-02
REV0122,CUST0431,BK01987,Haircut,4,Excellent bridal package. Made my wedding day perfect!,Positive,2026-02-23
REV0123,CUST0303,BK00898,Waxing,5,Great value for money. Very satisfied with the facial treatment.,Positive,2025-04-07
REV0124,CUST0282,BK00061,Haircut,4,Excellent bridal package. Made my wedding day perfect!,Positive,2024-06-22
REV0125,CUST0183,BK03793,Facial,4,Best salon in Nellore! Will definitely come back.,Positive,2026-04-18
REV0126,CUST0313,BK01600,Haircut,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-08-26
REV0127,CUST0442,BK04046,Waxing,1,The place needs better maintenance and cleanliness.,Negative,2025-03-22
REV0128,CUST0082,BK00725,Haircut,5,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2025-12-07
REV0129,CUST0129,BK04279,Hair Colour,4,Punctual and professional. My go-to salon from now on.,Positive,2025-12-12
REV0130,CUST0057,BK00219,Haircut,5,The stylist was so professional and understood exactly what I wanted.,Positive,2024-07-24
REV0131,CUST0218,BK02870,Hair Colour,4,Excellent bridal package. Made my wedding day perfect!,Positive,2025-03-22
REV0132,CUST0412,BK01189,Hair Spa,1,Staff behaviour was very poor. Will not return.,Negative,2025-08-02
REV0133,CUST0420,BK04791,Bridal Package,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-01-18
REV0134,CUST0287,BK00249,Waxing,3,Service was fine but the pricing is slightly high.,Neutral,2025-04-09
REV0135,CUST0428,BK04859,Manicure,5,Great value for money. Very satisfied with the facial treatment.,Positive,2024-11-12
REV0136,CUST0265,BK04010,Haircut,5,The staff is very skilled and the ambience is lovely.,Positive,2024-09-17
REV0137,CUST0086,BK02470,Haircut,5,Best salon in Nellore! Will definitely come back.,Positive,2026-03-01
REV0138,CUST0204,BK04165,Waxing,4,The staff is very skilled and the ambience is lovely.,Positive,2025-11-08
REV0139,CUST0231,BK03556,Facial,1,Pricing is not transparent. Hidden charges were added at billing.,Negative,2025-05-19
REV0140,CUST0471,BK04851,Hair Colour,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2024-07-01
REV0141,CUST0057,BK01550,Bridal Package,4,Punctual and professional. My go-to salon from now on.,Positive,2025-01-20
REV0142,CUST0353,BK01501,Haircut,5,The staff is very skilled and the ambience is lovely.,Positive,2024-12-12
REV0143,CUST0224,BK03583,Hair Spa,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2024-10-04
REV0144,CUST0287,BK04899,Waxing,5,The staff is very skilled and the ambience is lovely.,Positive,2024-08-23
REV0145,CUST0134,BK03789,Bridal Package,4,Outstanding service. The hair spa was so relaxing.,Positive,2026-04-04
REV0146,CUST0216,BK02047,Waxing,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-05-13
REV0147,CUST0061,BK03747,Hair Colour,1,The place needs better maintenance and cleanliness.,Negative,2025-04-01
REV0148,CUST0199,BK00122,Pedicure,5,The stylist was so professional and understood exactly what I wanted.,Positive,2025-08-27
REV0149,CUST0413,BK03618,Hair Spa,4,Best salon in Nellore! Will definitely come back.,Positive,2025-11-20
REV0150,CUST0319,BK00727,Waxing,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-12-10
REV0151,CUST0210,BK03408,Haircut,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-07-04
REV0152,CUST0339,BK02128,Haircut,5,Punctual and professional. My go-to salon from now on.,Positive,2025-05-11
REV0153,CUST0294,BK04909,Bridal Package,5,The stylist was so professional and understood exactly what I wanted.,Positive,2025-02-20
REV0154,CUST0161,BK01524,Hair Colour,4,The stylist was so professional and understood exactly what I wanted.,Positive,2025-05-23
REV0155,CUST0380,BK04744,Haircut,5,Amazing experience! My hair looks absolutely stunning.,Positive,2025-05-23
REV0156,CUST0184,BK04431,Haircut,5,The stylist was so professional and understood exactly what I wanted.,Positive,2025-01-24
REV0157,CUST0031,BK03610,Waxing,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2026-05-04
REV0158,CUST0045,BK00571,Hair Colour,4,The stylist was so professional and understood exactly what I wanted.,Positive,2024-06-04
REV0159,CUST0058,BK03803,Facial,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2024-10-06
REV0160,CUST0350,BK03597,Pedicure,5,The staff is very skilled and the ambience is lovely.,Positive,2025-11-26
REV0161,CUST0416,BK03271,Pedicure,2,Staff was unfriendly and unprofessional throughout.,Negative,2024-11-22
REV0162,CUST0128,BK01653,Bridal Package,4,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2025-08-05
REV0163,CUST0381,BK03856,Hair Spa,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2024-07-27
REV0164,CUST0164,BK02072,Hair Colour,3,Average experience. The waiting time was a bit long.,Neutral,2024-06-06
REV0165,CUST0284,BK00389,Waxing,3,Service was fine but the pricing is slightly high.,Neutral,2026-01-14
REV0166,CUST0431,BK01125,Hair Colour,4,Excellent bridal package. Made my wedding day perfect!,Positive,2026-03-22
REV0167,CUST0018,BK02414,Facial,1,Pricing is not transparent. Hidden charges were added at billing.,Negative,2024-08-16
REV0168,CUST0137,BK00108,Bridal Package,4,Great value for money. Very satisfied with the facial treatment.,Positive,2025-07-14
REV0169,CUST0435,BK04180,Haircut,4,Great value for money. Very satisfied with the facial treatment.,Positive,2024-09-11
REV0170,CUST0325,BK02321,Haircut,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-11-11
REV0171,CUST0077,BK01180,Facial,5,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2024-07-07
REV0172,CUST0229,BK02206,Hair Colour,4,Excellent bridal package. Made my wedding day perfect!,Positive,2025-10-26
REV0173,CUST0455,BK00487,Hair Colour,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-08-29
REV0174,CUST0240,BK00490,Waxing,4,The stylist was so professional and understood exactly what I wanted.,Positive,2025-11-05
REV0175,CUST0170,BK01443,Manicure,5,Outstanding service. The hair spa was so relaxing.,Positive,2024-05-29
REV0176,CUST0482,BK01880,Hair Spa,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2025-10-07
REV0177,CUST0163,BK02180,Hair Spa,4,Best salon in Nellore! Will definitely come back.,Positive,2026-04-22
REV0178,CUST0357,BK01208,Manicure,5,Quick service and great results. Highly recommend.,Positive,2026-04-24
REV0179,CUST0282,BK00061,Haircut,4,Quick service and great results. Highly recommend.,Positive,2024-06-24
REV0180,CUST0474,BK02872,Pedicure,2,Waited too long. No one even apologised for the delay.,Negative,2024-09-03
REV0181,CUST0037,BK00078,Manicure,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2025-05-20
REV0182,CUST0462,BK04273,Manicure,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-10-04
REV0183,CUST0138,BK00338,Bridal Package,5,Excellent bridal package. Made my wedding day perfect!,Positive,2024-11-06
REV0184,CUST0252,BK03588,Hair Spa,4,Best salon in Nellore! Will definitely come back.,Positive,2024-08-16
REV0185,CUST0458,BK01130,Waxing,5,Amazing experience! My hair looks absolutely stunning.,Positive,2024-06-28
REV0186,CUST0116,BK04013,Hair Colour,4,Great value for money. Very satisfied with the facial treatment.,Positive,2024-08-08
REV0187,CUST0399,BK02628,Haircut,2,Waited 45 minutes beyond my appointment time. Very unprofessional.,Negative,2026-02-12
REV0188,CUST0064,BK04756,Facial,5,Punctual and professional. My go-to salon from now on.,Positive,2025-10-11
REV0189,CUST0224,BK03372,Haircut,5,Best salon in Nellore! Will definitely come back.,Positive,2025-11-30
REV0190,CUST0344,BK03958,Hair Colour,5,Outstanding service. The hair spa was so relaxing.,Positive,2024-08-29
REV0191,CUST0103,BK03497,Waxing,5,Great value for money. Very satisfied with the facial treatment.,Positive,2024-12-29
REV0192,CUST0307,BK02852,Pedicure,2,The staff was rude and did not listen to my requirements.,Negative,2024-11-19
REV0193,CUST0448,BK01599,Haircut,4,Punctual and professional. My go-to salon from now on.,Positive,2024-07-27
REV0194,CUST0051,BK01701,Haircut,3,"Mixed experience. Some services were great, others average.",Neutral,2024-09-15
REV0195,CUST0065,BK02148,Hair Colour,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-03-18
REV0196,CUST0348,BK00005,Hair Colour,3,"Mixed experience. Some services were great, others average.",Neutral,2025-09-30
REV0197,CUST0334,BK00081,Waxing,4,Excellent bridal package. Made my wedding day perfect!,Positive,2026-05-01
REV0198,CUST0344,BK03798,Hair Colour,5,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2024-12-28
REV0199,CUST0056,BK00378,Haircut,4,The stylist was so professional and understood exactly what I wanted.,Positive,2024-08-13
REV0200,CUST0216,BK00322,Haircut,5,Great value for money. Very satisfied with the facial treatment.,Positive,2025-04-10
REV0201,CUST0385,BK01480,Haircut,3,Service was fine but the pricing is slightly high.,Neutral,2025-06-18
REV0202,CUST0355,BK04594,Pedicure,1,Waiting time is too long. They don't respect appointments.,Negative,2025-10-11
REV0203,CUST0420,BK03058,Manicure,2,Pricing is not transparent. Hidden charges were added at billing.,Negative,2025-12-23
REV0204,CUST0186,BK01795,Facial,4,Punctual and professional. My go-to salon from now on.,Positive,2025-12-04
REV0205,CUST0344,BK02247,Bridal Package,5,The staff is very skilled and the ambience is lovely.,Positive,2025-07-28
REV0206,CUST0099,BK00949,Hair Spa,5,Amazing experience! My hair looks absolutely stunning.,Positive,2026-05-01
REV0207,CUST0167,BK03799,Hair Colour,4,Quick service and great results. Highly recommend.,Positive,2024-12-23
REV0208,CUST0490,BK00650,Hair Colour,4,Great value for money. Very satisfied with the facial treatment.,Positive,2024-05-24
REV0209,CUST0327,BK02618,Hair Spa,5,Punctual and professional. My go-to salon from now on.,Positive,2026-02-07
REV0210,CUST0500,BK02400,Pedicure,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-09-18
REV0211,CUST0371,BK01470,Facial,5,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2026-04-18
REV0212,CUST0173,BK01830,Waxing,4,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2026-04-25
REV0213,CUST0329,BK02687,Hair Spa,4,Outstanding service. The hair spa was so relaxing.,Positive,2025-03-24
REV0214,CUST0212,BK01639,Bridal Package,5,Great value for money. Very satisfied with the facial treatment.,Positive,2025-06-09
REV0215,CUST0007,BK01884,Waxing,3,Average experience. The waiting time was a bit long.,Neutral,2024-08-26
REV0216,CUST0110,BK04467,Hair Colour,5,The staff is very skilled and the ambience is lovely.,Positive,2025-06-28
REV0217,CUST0239,BK03892,Haircut,5,The stylist was so professional and understood exactly what I wanted.,Positive,2024-10-07
REV0218,CUST0478,BK03699,Waxing,5,Great value for money. Very satisfied with the facial treatment.,Positive,2024-09-03
REV0219,CUST0481,BK00499,Waxing,5,The staff is very skilled and the ambience is lovely.,Positive,2024-08-30
REV0220,CUST0495,BK04919,Pedicure,4,Best salon in Nellore! Will definitely come back.,Positive,2026-03-15
REV0221,CUST0442,BK04843,Haircut,5,Amazing experience! My hair looks absolutely stunning.,Positive,2025-11-02
REV0222,CUST0456,BK04409,Waxing,5,Excellent bridal package. Made my wedding day perfect!,Positive,2025-12-20
REV0223,CUST0134,BK00731,Manicure,4,Punctual and professional. My go-to salon from now on.,Positive,2024-06-28
REV0224,CUST0113,BK03872,Waxing,4,Best salon in Nellore! Will definitely come back.,Positive,2024-10-14
REV0225,CUST0422,BK02494,Pedicure,5,The stylist was so professional and understood exactly what I wanted.,Positive,2025-07-25
REV0226,CUST0093,BK02807,Bridal Package,5,The staff is very skilled and the ambience is lovely.,Positive,2024-07-05
REV0227,CUST0406,BK00437,Pedicure,4,Excellent bridal package. Made my wedding day perfect!,Positive,2024-11-28
REV0228,CUST0111,BK04621,Haircut,2,Staff behaviour was very poor. Will not return.,Negative,2024-07-15
REV0229,CUST0238,BK01654,Haircut,4,The stylist was so professional and understood exactly what I wanted.,Positive,2025-05-31
REV0230,CUST0128,BK02658,Haircut,5,Punctual and professional. My go-to salon from now on.,Positive,2025-05-30
REV0231,CUST0319,BK01422,Hair Spa,2,Salon was not clean. Hygiene standards need serious improvement.,Negative,2025-07-11
REV0232,CUST0107,BK02365,Hair Colour,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2025-02-16
REV0233,CUST0046,BK04138,Haircut,3,Average experience. The waiting time was a bit long.,Neutral,2024-05-23
REV0234,CUST0189,BK04815,Hair Colour,5,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2025-09-11
REV0235,CUST0127,BK02763,Haircut,1,Salon was not clean. Hygiene standards need serious improvement.,Negative,2025-11-13
REV0236,CUST0267,BK00512,Haircut,5,The staff is very skilled and the ambience is lovely.,Positive,2025-02-11
REV0237,CUST0009,BK04595,Manicure,5,The stylist was so professional and understood exactly what I wanted.,Positive,2025-09-02
REV0238,CUST0207,BK01761,Hair Colour,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2024-08-31
REV0239,CUST0088,BK03771,Haircut,4,Best salon in Nellore! Will definitely come back.,Positive,2026-03-22
REV0240,CUST0302,BK02094,Haircut,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2025-02-05
REV0241,CUST0416,BK01662,Facial,4,Great value for money. Very satisfied with the facial treatment.,Positive,2024-06-16
REV0242,CUST0315,BK01192,Haircut,5,Great value for money. Very satisfied with the facial treatment.,Positive,2025-10-17
REV0243,CUST0099,BK04198,Haircut,4,Excellent bridal package. Made my wedding day perfect!,Positive,2026-03-21
REV0244,CUST0044,BK03381,Haircut,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-04-21
REV0245,CUST0114,BK01450,Hair Colour,5,Punctual and professional. My go-to salon from now on.,Positive,2025-02-19
REV0246,CUST0424,BK03286,Waxing,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-03-03
REV0247,CUST0130,BK03837,Haircut,1,Salon was not clean. Hygiene standards need serious improvement.,Negative,2024-11-28
REV0248,CUST0140,BK02460,Pedicure,4,Punctual and professional. My go-to salon from now on.,Positive,2024-09-15
REV0249,CUST0082,BK03252,Hair Colour,5,Best salon in Nellore! Will definitely come back.,Positive,2025-11-03
REV0250,CUST0269,BK03575,Pedicure,5,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2025-02-08
REV0251,CUST0243,BK03706,Haircut,5,Punctual and professional. My go-to salon from now on.,Positive,2024-09-05
